lat,lon,amenity
6.76053,3.23837,school
6.583797,3.19186,school
6.667327,3.128894,school
6.52729,2.9267,school
6.6717,3.04451,school
6.678694,3.133628,school
6.63476,3.11167,school
6.68883,3.229341,school
6.689129,3.229358,school
6.69466,3.05824,school
6.56072,2.96049,school
6.80004,3.18374,school
6.58054,2.93065,school
6.68857,3.02244,school
6.742144,3.263063,school
6.6836,3.2353,school
6.63777,3.20698,school
6.68205,3.22964,school
6.676088,3.223446,school
6.58842,2.93143,school
6.67144,3.05812,school
6.59232,2.94166,school
6.59591,2.95429,school
6.67778,3.03644,school
6.74263,3.27801,school
6.72598,3.21987,school
6.53574,3.06814,school
6.71236,3.19658,school
6.52124,3.06084,school
6.85051,3.65025,school
6.64192,3.08772,school
6.83123,3.64706,school
6.80101,3.20051,school
6.8311,3.64704,school
6.6611,3.182244,school
6.71207,3.07565,school
6.82519,3.64375,school
6.678674,3.134488,school
6.66156,3.182404,school
6.68155,3.22903,school
6.694818,3.236606,school
6.58607,3.07467,school
6.53541,2.89843,school
6.54755,2.94835,school
6.84969,3.62958,school
6.81737,3.20633,school
6.65048,3.0612,school
6.80679,3.90882,school
6.55918,2.92861,school
6.68611,3.57991,school
6.83006,3.64786,school
6.71161,3.30696,school
6.75301,3.10222,school
6.711504,3.265268,school
6.81158,3.19674,school
6.72566,3.19527,school
6.64374,2.94163,school
6.81035,3.92213,school
6.58105,3.04786,school
6.55181,3.0445,school
6.58342,3.02367,school
6.80867,3.21061,school
6.7852,3.20763,school
6.80871,3.21044,school
6.71105,3.30663,school
6.7852,3.20763,school
6.56223,2.94288,school
6.72968,3.58585,school
6.7061,3.96031,school
6.52327,3.14015,school
6.68479,3.08521,school
6.65075,2.98333,school
6.73423,3.98172,school
6.82738,3.23038,school
6.74668,3.28352,school
6.81448,3.93005,school
6.71151,3.23061,school
6.6566,3.09137,school
6.61753,3.08731,school
6.71362,3.96212,school
6.68291,3.32142,school
6.81374,3.10748,school
6.85143,3.65611,school
6.66517,4.00536,school
6.80562,3.59072,school
6.69296,3.28621,school
6.80771,3.16072,school
6.76473,3.25793,school
6.80492,3.1926,school
6.81786,3.18696,school
6.61281,3.22777,school
6.818225,3.184795,school
6.67252,3.17624,school
6.76003,3.10723,school
6.83436,3.722,school
6.61435,3.22553,school
6.79505,3.24311,school
6.83451,3.12304,school
6.75068,3.27298,school
6.83189,3.90802,school
6.81834,3.93031,school
6.54276,3.12967,school
6.68548,3.29043,school
6.80786,3.91153,school
6.68194,3.29676,school
6.66237,3.09285,school
6.8213,3.91545,school
6.68387,3.29801,school
6.70867,3.23627,school
6.75527,3.18471,school
6.74022,3.26074,school
6.76796,3.22506,school
6.76719,3.14722,school
6.81237,3.24641,school
6.81683,3.18559,school
6.79252,3.20321,school
6.85125,3.64178,school
6.72367,3.1629,school
6.714573,3.306022,school
6.69971,3.30329,school
6.77028,3.13533,school
6.67544,3.1264,school
6.68026,3.18459,school
6.81639,3.09585,school
6.8114,3.15765,school
6.714612,3.306543,school
6.81672,3.90098,school
6.84181,3.6465,school
6.72364,3.16292,school
6.81537,3.89754,school
6.82206,3.91321,school
6.80301,3.1949,school
6.794836,3.122364,school
6.81407,3.92268,school
6.67047,3.15758,school
6.68632,3.58004,school
6.580495,2.930502,school
6.84959,3.9112,school
6.84218,3.64892,school
6.822836,3.914386,school
6.81067,3.913,school
6.7941,3.94658,school
6.82548,3.90986,school
6.504417,3.101732,school
6.85635,3.64474,school
6.812573,3.926581,school
6.62298,3.14301,school
6.59138,2.9988,school
6.64452,3.17153,school
6.52875,2.99786,school
6.70572,3.24412,school
6.5341,3.02369,school
6.81599,3.92957,school
6.8235,3.91248,school
6.81925,3.92085,school
6.66092,3.09212,school
6.80833,3.19325,school
6.82996,3.63351,school
6.85072,3.63401,school
6.81911,3.156685,school
6.54227,2.9646,school
6.84708,3.63583,school
6.73681,3.26028,school
6.64104,3.04908,school
6.81225,3.11444,school
6.687383,3.204174,school
6.60416,3.06717,school
6.81255,3.19688,school
6.812652,3.196594,school
6.68445,3.29992,school
6.68993,3.29398,school
6.5789,3.08657,school
6.85134,3.64155,school
6.80696,3.20279,school
6.84176,3.64897,school
6.69099,3.23608,school
6.72977,3.28521,school
6.81105,3.19225,school
6.81797,3.6346,school
6.73968,3.21638,school
6.74245,3.25475,school
6.69014,3.23841,school
6.77271,3.49384,school
6.812953,3.1886,school
6.70307,3.27103,school
6.74687,3.29342,school
6.83421,3.65744,school
6.84725,3.63644,school
6.85235,3.65098,school
6.84707,3.65458,school
6.8777,3.3074,school
6.8761,3.5735,school
6.8755,3.317,school
6.8734,3.2978,school
6.872,3.5568,school
6.8564,3.6447,school
6.8529,3.5264,school
6.8524,3.651,school
6.8514,3.6561,school
6.851331,3.63014,school
6.8507,3.634,school
6.8505,3.6503,school
6.8497,3.6296,school
6.8496,3.9112,school
6.8472,3.6364,school
6.8471,3.6358,school
6.8471,3.6546,school
6.8422,3.6489,school
6.842,3.6418,school
6.842,3.6418,school
6.8418,3.6465,school
6.8418,3.649,school
6.8393,3.6331,school
6.8379,3.9332,school
6.8357,3.6589,school
6.8352,3.9367,school
6.8345,3.123,school
6.8344,3.722,school
6.8342,3.6574,school
6.8322,3.9319,school
6.8319,3.908,school
6.8315,3.9354,school
6.8313,3.5019,school
6.8312,3.6471,school
6.8311,3.647,school
6.8309,3.1952,school
6.8301,3.9191,school
6.8301,3.1979,school
6.8301,3.6479,school
6.83,3.6335,school
6.8287,3.2053,school
6.8276,3.6435,school
6.8274,3.2304,school
6.8266,3.1857,school
6.8255,3.9099,school
6.8252,3.6437,school
6.8251,3.9255,school
6.8235,3.9125,school
6.822815,3.914411,school
6.8221,3.9132,school
6.8217,3.9258,school
6.8213,3.9154,school
6.8208,3.9268,school
6.8208,3.9268,school
6.8203,3.2333,school
6.8192,3.9209,school
6.818963,3.156738,school
6.819,3.9208,school
6.819,3.2712,school
6.8183,3.9303,school
6.8182,3.1848,school
6.818,3.6346,school
6.8179,3.187,school
6.8174,3.2063,school
6.8168,3.1856,school
6.8167,3.901,school
6.8165,3.2083,school
6.8164,3.0958,school
6.8164,3.9322,school
6.8162,3.1958,school
